Category,Name,Portion(fl oz),Calories,Calories from fat,Total Fat(g),Saturated fat(g),Trans fat(g),Cholesterol(mg),Sodium(mg),Total Carbohydrate(g),Dietary Fiber(g),Sugars(g),Protein(g),Caffeine(mg),Size,Milk,Whipped Cream
iced-coffee,Cold Brew with Cascara Cold Foam,12,50,0,0,0,0,0,25,11,0,11,1,145,Tall,,
iced-coffee,Cold Brew with Cascara Cold Foam,16,80,0,0,0,0,0,30,17,0,17,2,190,Grande,,
iced-coffee,Cold Brew with Cascara Cold Foam,24,100,0,0,0,0,0,40,22,0,22,2,280,Venti Iced,,
iced-coffee,Cold Brew with Cascara Cold Foam,30,130,0,0,0,0,0,45,28,0,28,2,320,Trenta Iced,,
iced-coffee,Iced Coffee,30,160,0,0,0,0,0,15,40,0,39,1,280,Trenta Iced,,Sweetened
iced-coffee,Iced Coffee,30,5,0,0,0,0,0,10,0,0,0,1,330,Trenta Iced,,Unsweetened
iced-coffee,Iced Coffee,12,60,0,0,0,0,0,10,15,0,15,0,120,Tall,,Sweetened
iced-coffee,Iced Coffee,12,5,0,0,0,0,0,0,0,0,0,0,140,Tall,,Unsweetened
iced-coffee,Iced Coffee,16,80,0,0,0,0,0,10,20,0,20,0,165,Grande,,Sweetened
iced-coffee,Iced Coffee,16,5,0,0,0,0,0,5,0,0,0,0,190,Grande,,Unsweetened
iced-coffee,Iced Coffee,24,120,0,0,0,0,0,15,30,0,30,0,235,Venti Iced,,Sweetened
iced-coffee,Iced Coffee,24,5,0,0,0,0,0,10,0,0,0,0,275,Venti Iced,,Unsweetened
iced-coffee,Iced Coffee with Milk,30,35,20,2.5,0,0,0,75,3,1,2,1,240,Trenta Iced,Almond,Unsweetened
iced-coffee,Iced Coffee with Milk,30,210,25,3,3,0,0,70,44,0,44,1,190,Trenta Iced,Coconut,Sweetened
iced-coffee,Iced Coffee with Milk,30,50,25,3,3,0,0,60,5,0,4,1,240,Trenta Iced,Coconut,Unsweetened
iced-coffee,Iced Coffee with Milk,30,210,0,0,0,0,5,70,46,0,46,5,190,Trenta Iced,Nonfat milk,Sweetened
iced-coffee,Iced Coffee with Milk,30,50,0,0,0,0,5,65,7,0,7,5,240,Trenta Iced,Nonfat milk,Unsweetened
iced-coffee,Iced Coffee with Milk,30,240,40,4.5,2.5,0,15,75,46,0,46,5,190,Trenta Iced,Whole Milk,Sweetened
iced-coffee,Iced Coffee with Milk,30,90,40,4.5,2.5,0,15,65,7,0,7,5,240,Trenta Iced,Whole Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,30,230,25,3,1.5,0,10,80,46,0,46,5,190,Trenta Iced,2% Milk,Sweetened
iced-coffee,Iced Coffee with Milk,30,70,25,3,1.5,0,10,70,7,0,7,5,240,Trenta Iced,2% Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,30,230,20,2,0,0,0,65,48,1,46,4,190,Trenta Iced,Soy (United States),Sweetened
iced-coffee,Iced Coffee with Milk,30,70,20,2,0,0,0,60,9,1,7,4,240,Trenta Iced,Soy (United States),Unsweetened
iced-coffee,Iced Coffee with Milk,12,70,5,1,0,0,0,30,16,0,15,0,90,Tall,Almond,Sweetened
iced-coffee,Iced Coffee with Milk,12,15,5,1,0,0,0,30,1,0,1,0,110,Tall,Almond,Unsweetened
iced-coffee,Iced Coffee with Milk,12,80,10,1,1,0,0,25,17,0,16,0,90,Tall,Coconut,Sweetened
iced-coffee,Iced Coffee with Milk,12,20,10,1,1,0,0,20,2,0,2,0,110,Tall,Coconut,Unsweetened
iced-coffee,Iced Coffee with Milk,12,80,0,0,0,0,0,30,17,0,17,2,90,Tall,Nonfat milk,Sweetened
iced-coffee,Iced Coffee with Milk,12,20,0,0,0,0,0,25,2,0,2,2,110,Tall,Nonfat milk,Unsweetened
iced-coffee,Iced Coffee with Milk,12,90,15,1.5,1,0,5,30,17,0,17,2,90,Tall,Whole Milk,Sweetened
iced-coffee,Iced Coffee with Milk,12,30,15,1.5,1,0,5,25,2,0,2,2,110,Tall,Whole Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,12,80,10,1,0.5,0,5,30,17,0,17,2,90,Tall,2% Milk,Sweetened
iced-coffee,Iced Coffee with Milk,12,25,10,1,0,0,5,25,2,0,2,2,110,Tall,2% Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,12,90,5,1,0,0,0,25,18,0,17,2,90,Tall,Soy (United States),Sweetened
iced-coffee,Iced Coffee with Milk,12,25,5,1,0,0,0,20,3,0,2,2,110,Tall,Soy (United States),Unsweetened
iced-coffee,Iced Coffee with Milk,16,100,10,1,0,0,0,35,21,0,21,1,125,Grande,Almond,Sweetened
iced-coffee,Iced Coffee with Milk,16,20,10,1,0,0,0,40,1,0,1,1,150,Grande,Almond,Unsweetened
iced-coffee,Iced Coffee with Milk,16,100,15,1.5,1.5,0,0,35,22,0,22,0,125,Grande,Coconut,Sweetened
iced-coffee,Iced Coffee with Milk,16,25,15,1.5,1.5,0,0,30,2,0,2,0,150,Grande,Coconut,Unsweetened
iced-coffee,Iced Coffee with Milk,16,100,0,0,0,0,0,35,23,0,23,2,125,Grande,Nonfat milk,Sweetened
iced-coffee,Iced Coffee with Milk,16,25,0,0,0,0,0,30,3,0,3,2,150,Grande,Nonfat milk,Unsweetened
iced-coffee,Iced Coffee with Milk,16,120,20,2,1,0,5,35,23,0,23,2,125,Grande,Whole Milk,Sweetened
iced-coffee,Iced Coffee with Milk,16,40,20,2,1,0,5,30,3,0,3,2,150,Grande,Whole Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,16,110,10,1.5,1,0,5,40,23,0,23,2,125,Grande,2% Milk,Sweetened
iced-coffee,Iced Coffee with Milk,16,35,10,1.5,0.5,0,5,35,3,0,3,2,150,Grande,2% Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,16,110,10,1,0,0,0,35,24,0,23,2,125,Grande,Soy (United States),Sweetened
iced-coffee,Iced Coffee with Milk,16,35,10,1,0,0,0,30,4,0,3,2,150,Grande,Soy (United States),Unsweetened
iced-coffee,Iced Coffee with Milk,24,150,15,1.5,0,0,0,60,32,0,31,1,170,Venti Iced,Almond,Sweetened
iced-coffee,Iced Coffee with Milk,24,30,15,1.5,0,0,0,60,2,0,1,1,205,Venti Iced,Almond,Unsweetened
iced-coffee,Iced Coffee with Milk,24,160,20,2.5,2,0,0,55,33,0,33,1,170,Venti Iced,Coconut,Sweetened
iced-coffee,Iced Coffee with Milk,24,40,20,2.5,2,0,0,45,3,0,3,1,205,Venti Iced,Coconut,Unsweetened
iced-coffee,Iced Coffee with Milk,24,160,0,0,0,0,0,60,35,0,35,4,170,Venti Iced,Nonfat milk,Sweetened
iced-coffee,Iced Coffee with Milk,24,40,0,0,0,0,0,50,5,0,5,4,205,Venti Iced,Nonfat milk,Unsweetened
iced-coffee,Iced Coffee with Milk,24,190,30,3.5,2,0,10,60,35,0,35,4,170,Venti Iced,Whole Milk,Sweetened
iced-coffee,Iced Coffee with Milk,24,70,30,3.5,2,0,10,50,5,0,5,4,205,Venti Iced,Whole Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,24,170,20,2,1.5,0,10,65,35,0,35,4,170,Venti Iced,2% Milk,Sweetened
iced-coffee,Iced Coffee with Milk,24,60,20,2,1,0,10,55,5,0,5,4,205,Venti Iced,2% Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,24,180,15,1.5,0,0,0,55,36,0,35,3,170,Venti Iced,Soy (United States),Sweetened
iced-coffee,Iced Coffee with Milk,24,60,15,1.5,0,0,0,45,7,0,5,3,205,Venti Iced,Soy (United States),Unsweetened
iced-coffee,Iced Espresso Classics  - Vanilla Latte,8,130,25,2.5,1.5,0,10,65,21,0,19,5,85,Tall,,
iced-coffee,Iced Espresso Classics - Caffe Mocha,8,140,25,2.5,2,0,10,90,23,0,21,5,85,Grande,,
iced-coffee,Iced Espresso Classics - Caramel Macchiato,8,130,25,2.5,1.5,0,10,65,21,0,19,5,85,Venti,,
iced-coffee,Nitro Cold Brew,12,5,0,0,0,0,0,10,0,0,0,0,215,Tall,,
iced-coffee,Nitro Cold Brew,16,5,0,0,0,0,0,10,0,0,0,0,280,Grande,,
iced-coffee,Nitro Cold Brew with Cascara Cold Foam,12,60,0,0,0,0,0,20,12,0,12,1,200,Tall,,
iced-coffee,Nitro Cold Brew with Cascara Cold Foam,16,80,0,0,0,0,0,30,18,0,18,2,270,Grande,,
iced-coffee,Nitro Cold Brew with Sweet Cream,12,70,50,5,3.5,0,15,15,4,0,4,1,200,Tall,,
iced-coffee,Nitro Cold Brew with Sweet Cream,16,70,50,5,3.5,0,15,20,4,0,4,1,265,Grande,,
iced-coffee,Starbucks® Cold Brew Coffee,12,5,0,0,0,0,0,10,0,0,0,0,155,Tall,,
iced-coffee,Starbucks® Cold Brew Coffee,16,5,0,0,0,0,0,15,0,0,0,0,205,Grande,,
iced-coffee,Starbucks® Cold Brew Coffee,24,5,0,0,0,0,0,20,0,0,0,0,310,Venti Iced,,
iced-coffee,Starbucks® Cold Brew Coffee,30,5,0,0,0,0,0,25,0,0,0,0,360,Trenta Iced,,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12,15,5,1,0,0,0,30,1,0,1,0,155,Tall,Almond,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12,20,10,1,1,0,0,30,2,0,2,0,155,Tall,Coconut,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12,20,0,0,0,0,0,30,2,0,2,2,155,Tall,Nonfat milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12,30,10,1.5,1,0,5,30,2,0,2,2,155,Tall,Whole Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12,25,10,1,0.5,0,5,30,2,0,2,2,155,Tall,2% Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12,25,5,1,0,0,0,25,3,0,2,1,155,Tall,Soy (United States),
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16,20,10,1,0,0,0,40,1,0,1,1,205,Grande,Almond,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16,25,15,1.5,1.5,0,0,35,2,0,2,0,205,Grande,Coconut,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16,25,0,0,0,0,0,40,3,0,3,2,205,Grande,Nonfat milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16,40,20,2,1,0,5,40,3,0,3,2,205,Grande,Whole Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16,35,10,1.5,1,0,5,40,3,0,3,2,205,Grande,2% Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16,35,10,1,0,0,0,35,4,0,3,2,205,Grande,Soy (United States),
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24,30,15,1.5,0,0,0,60,2,0,1,1,310,Venti Iced,Almond,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24,40,20,2.5,2,0,0,55,3,0,3,0,310,Venti Iced,Coconut,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24,40,0,0,0,0,0,60,5,0,5,4,310,Venti Iced,Nonfat milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24,70,30,3.5,2,0,10,60,5,0,5,4,310,Venti Iced,Whole Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24,60,20,2,1.5,0,10,65,5,0,5,4,310,Venti Iced,2% Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24,60,15,1.5,0,0,0,55,7,0,5,3,310,Venti Iced,Soy (United States),
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30,40,20,2,0,0,0,75,3,1,2,1,360,Trenta Iced,Almond,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30,50,25,3,3,0,0,70,4,0,4,1,360,Trenta Iced,Coconut,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30,50,0,0,0,0,5,75,7,0,7,5,360,Trenta Iced,Nonfat milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30,90,40,4.5,2.5,0,15,75,6,0,6,4,360,Trenta Iced,Whole Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30,70,25,2.5,1.5,0,10,80,6,0,6,5,360,Trenta Iced,2% Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30,70,20,2,0,0,0,70,8,1,7,4,360,Trenta Iced,Soy (United States),
iced-coffee,Vanilla Sweet Cream Cold Brew,30,210,100,11,7,0,40,45,26,0,26,2,320,Trenta Iced,,
iced-coffee,Vanilla Sweet Cream Cold Brew,12,90,50,5,3.5,0,15,20,9,0,9,1,145,Tall,,
iced-coffee,Vanilla Sweet Cream Cold Brew,16,110,50,5,3.5,0,15,20,14,0,14,1,185,Grande,,
iced-coffee,Vanilla Sweet Cream Cold Brew,24,200,100,11,7,0,35,35,23,0,23,2,275,Venti Iced,,
refreshers,Pink Drink,12,110,20,2,1.5,0,0,50,21,1,19,0,35–45,Tall,,
refreshers,Pink Drink,16,140,25,2.5,2.5,0,0,65,27,2,24,1,45–55,Grande,,
refreshers,Pink Drink,24,200,35,4,3.5,0,0,95,39,1,35,1,70–85,Venti Iced,,
refreshers,Pink Drink,30,270,45,5,4.5,0,0,130,55,2,48,1,90–110,Trenta Iced,,
refreshers,Strawberry Acai Lemonade Starbucks Refreshers® ,12,110,0,0,0,0,0,10,27,1,24,0,35–45,Tall,,
refreshers,Strawberry Acai Lemonade Starbucks Refreshers® ,16,140,0,0,0,0,0,15,35,1,32,0,45–55,Grande,,
refreshers,Strawberry Acai Lemonade Starbucks Refreshers® ,24,200,0,0,0,0,0,20,51,1,47,0,70–85,Venti Iced,,
refreshers,Strawberry Acai Lemonade Starbucks Refreshers® ,30,280,0,0,0,0,0,25,70,2,63,1,90–110,Trenta Iced,,
refreshers,Strawberry Acai Starbucks Refreshers™ Beverage,12,80,0,0,0,0,0,10,18,1,16,0,35–45,Tall,,
refreshers,Strawberry Acai Starbucks Refreshers™ Beverage,16,90,0,0,0,0,0,15,23,1,20,0,45–55,Grande,,
refreshers,Strawberry Acai Starbucks Refreshers™ Beverage,24,130,0,0,0,0,0,20,33,1,30,0,70–85,Venti Iced,,
refreshers,Strawberry Acai Starbucks Refreshers™ Beverage,30,190,0,0,0,0,0,30,46,2,41,0,90–110,Trenta Iced,,
refreshers,Very Berry Hibiscus Lemonade Starbucks Refreshers® ,12,90,0,0,0,0,0,10,23,1,21,0,35–45,Tall,,
refreshers,Very Berry Hibiscus Lemonade Starbucks Refreshers® ,16,120,0,0,0,0,0,15,29,1,25,1,45–55,Grande,,
refreshers,Very Berry Hibiscus Lemonade Starbucks Refreshers® ,20,170,0,0,0,0,0,15,43,1,39,0,70–85,Venti Iced,,
refreshers,Very Berry Hibiscus Lemonade Starbucks Refreshers® ,30,240,0,0,0,0,0,20,59,3,53,0,90–110,Trenta Iced,,
refreshers,Very Berry Hibiscus Starbucks Refreshers™ Beverage,30,130,0,0,0,0,0,30,33,3,28,1,90–110,Trenta Iced,,
refreshers,Very Berry Hibiscus Starbucks Refreshers™ Beverage,12,50,0,0,0,0,0,10,13,1,11,0,35–45,Tall,,
refreshers,Very Berry Hibiscus Starbucks Refreshers™ Beverage,16,70,0,0,0,0,0,15,17,1,14,1,45–55,Grande,,
refreshers,Very Berry Hibiscus Starbucks Refreshers™ Beverage,24,90,0,0,0,0,0,25,23,1,20,1,5–85,Venti Iced,,
refreshers,Violet Drink,12,90,20,2,2,0,0,0,17,1,15,0,35,Tall,,
